item,id,titel,wijze,jaartal,schrijver,vereniging_schrijver
https://zotero.org/groups/2707622/items/I664294A,album1856-01,Welkomstgroet,Goeden nacht (uit den Barbier),1856,J. Breeman,amsterdam1849
https://zotero.org/groups/2707622/items/I664294A,album1856-02,Aan de commissie tot oprigting van het Standbeeld van Lourens Jansz. Coster,Schep vreugde in 't leven,1856,B. Kuit,denhaag1843
https://zotero.org/groups/2707622/items/I664294A,album1856-03,Hulde aan Haarlem,Eens werd er aan de zeeuwsche kust,1856,C. Mommaas,utrecht1851
https://zotero.org/groups/2707622/items/I664294A,album1856-04,Eer aan Lourens Jansz. Coster,De wereld is in rep en roer,1856,,utrecht1851
https://zotero.org/groups/2707622/items/I664294A,album1856-05,COSTERS EER GEHANDHAAFD,Wien Neerlands bloed,1856,J.H. Regenboog,denhaag1843
https://zotero.org/groups/2707622/items/I664294A,album1856-06,COSTERS EERE,Henri's drinklied,1856,J. Clausen,amsterdam1849
https://zotero.org/groups/2707622/items/I664294A,album1856-07,TOT COSTERS EER,Wien Neerlands bloed,1856,J.P. Bladergroen,rotterdam1849
https://zotero.org/groups/2707622/items/I664294A,album1856-08,Danktoon,Henri's drinklied,1856,A. Hogenhuis,amsterdam1849
https://zotero.org/groups/2707622/items/I664294A,album1856-09,HEIL DE KUNST,Henri's drinklied,1856,G. Nijman,denbosch1849
https://zotero.org/groups/2707622/items/I664294A,album1856-10,HULDE AAN COSTERS STANDBEELD,O vader Abraham,1856,J.H.F. Bartels,amsterdam1849
https://zotero.org/groups/2707622/items/I664294A,album1856-11,BROEDERLIED VOOR TYPOGRAPHISCHE VEREENIGINGEN,O groote koopman in tabak,1856,M. Uitenbosch,haarlem1851
https://zotero.org/groups/2707622/items/I664294A,album1856-12,Feestvreugde,Io Vivat,1856,R. van der Star,amsterdam1849
https://zotero.org/groups/2707622/items/I664294A,album1856-13,HERINNERINGS - ZANG,"Is 't u bekend, getrouwe burgerscharen?",1856,C. Mommaas,utrecht1851
https://zotero.org/groups/2707622/items/I664294A,album1856-14,COSTERS LOF,,1856,W.J. de Gruijter,denhaag1843
https://zotero.org/groups/2707622/items/I664294A,album1856-15,TER EERE VAN COSTER,O vader Abraham,1856,J.F. Vissers,amsterdam1849
https://zotero.org/groups/2707622/items/I664294A,album1856-16,DE BRON DER KUNSTEN,De wereld is in rep en roer,1856,J.H. Regenboog,denhaag1843
https://zotero.org/groups/2707622/items/I664294A,album1856-17,NEDERLAND,Een vrolijk leven is ons lot,1856,J. Lamsveldt,amsterdam1849
https://zotero.org/groups/2707622/items/I664294A,album1856-18,BANIEREN ZANG DER TYPOGRAPHISCHE VEREENIGINGEN BINNEN HAARLEM,De wereld is in rep en roer,1856,,utrecht1851
https://zotero.org/groups/2707622/items/I664294A,album1856-19,ROEM VAN NEERLANDS GROND,Wien Neerlands bloed,1856,H. Stühr,amsterdam1849
https://zotero.org/groups/2707622/items/I664294A,album1856-20,Haarlems Roem,Henri's drinklied,1856,A. Kreyts,amsterdam1849
https://zotero.org/groups/2707622/items/I664294A,album1856-21,HULDE AAN COSTER,Ik ben een Nederlandsch Soldaat,1856,J.H. Regenboog,denhaag1843
https://zotero.org/groups/2707622/items/I664294A,album1856-22,COSTERS VERHUIZING,Wie praalt aan 't hoofd der Heldenstoet,1856,J.J. Steen,amsterdam1849
https://zotero.org/groups/2707622/items/I664294A,album1856-23,TOAST,Henri's drinklied,1856,B. Kuit,denhaag1843
https://zotero.org/groups/2707622/items/I664294A,album1856-24,DOOR EENDRAGT 'T ZAAM VERBONDEN,Wien Neerlands bloed,1856,B. Kuit,denhaag1843
https://zotero.org/groups/2707622/items/I664294A,album1856-25,Juichtoon bij de onthulling van het metalen standbeeld van Lourens Jansz Coster,Wien Neerlands bloed,1856,N. van Amesfoort,haarlem1851
https://zotero.org/groups/2707622/items/I664294A,album1856-26,OPWEKKING,De winter komt zijn afscheid geven,1856,C. Boss,haarlem1851
https://zotero.org/groups/2707622/items/I664294A,album1856-27,Haarlems Vreugdedag,Het Haringlied,1856,J.P. Nobels,haarlem1851
https://zotero.org/groups/2707622/items/I664294A,album1856-28,FEESTZANG,Hij die in slavernij wil leren. enz.,1856,J.H. Regenboog,denhaag1843
https://zotero.org/groups/2707622/items/I664294A,album1856-29,Costers standbeeld,Wij leven zeer verstandig,1856,C. Regenboog,amsterdam1849
https://zotero.org/groups/2707622/items/I664294A,album1856-30,Costers Hulde,"O, hemel! 'k sta hoogst opgetogen",1856,P.C.W. Snijder,denbosch1849
https://zotero.org/groups/2707622/items/I664294A,album1856-31,DE DRUKKUNST HET ZOUT DER AARDE,De Koning leef,1856,J.H. Regenboog,denhaag1843
https://zotero.org/groups/2707622/items/I664294A,album1856-32,FEESTLIED BIJ DE ONTHULLING,Wie praalt aan 't hoofd der Heldenstoet,1856,J.H. Regenboog,denhaag1843
https://zotero.org/groups/2707622/items/I664294A,album1856-33,LOF AAN COSTER,Wien Neerlands bloed,1856,H. Everts,tiel1852
https://zotero.org/groups/2707622/items/I664294A,album1856-34,Aan het steenen Beeld,"Zeg, kees mijn vrijer",1856,C. Boss,haarlem1851
https://zotero.org/groups/2707622/items/I664294A,album1856-35,FEESTLIED,Wien Neerlands bloed,1856,J.P. Nobels,haarlem1851
https://zotero.org/groups/2707622/items/I664294A,album1856-36,Hulde aan Coster,De wereld is in rep en roer,1856,J. Bierdrager,amsterdam1849
https://zotero.org/groups/2707622/items/I664294A,album1856-37,FEESTLIED,De Koning leef,1856,J. Stom,amsterdam1849
https://zotero.org/groups/2707622/items/I664294A,album1856-38,"Welkomstgroet aan alle Typographische Vereenigingen op het Onthullings-Feest, te Haarlem",Henri's drinklied,1856,N. van Amesfoort,haarlem1851
https://zotero.org/groups/2707622/items/I664294A,album1856-39,Verschuldigde dank,Eens werd er aan de zeeuwsche kust,1856,,utrecht1851
https://zotero.org/groups/2707622/items/I664294A,album1856-40,COSTERS EERE,"Goeden morgen, mijn heer Becker",1856,M. Uitenbosch,haarlem1851
https://zotero.org/groups/2707622/items/I664294A,album1856-41,HEM ALLEEN DE ROEM,Uit den voddenraper,1856,J.K. de Regt,leiden1854
https://zotero.org/groups/2707622/items/I664294A,album1856-42,HET NUT VAN COSTERS UITVINDING,Eens werd er aan de zeeuwsche kust,1856,J. Breeman,amsterdam1849
https://zotero.org/groups/2707622/items/I664294A,album1856-43,DE COSTERS-VEREENIGINGEN,De Koning leef,1856,H. Everts,tiel1852
https://zotero.org/groups/2707622/items/I664294A,album1856-44,Aan het Feestmaal,Io Vivat,1856,C. Boss,haarlem1851
https://zotero.org/groups/2707622/items/I664294A,album1856-45,FEESTMARSCH,"Naar de Muzijk van H. Werner. (*) (*) Zie Orpeus, no. 50",1856,J.K. de Regt,leiden1854
https://zotero.org/groups/2707622/items/I664294A,album1856-46,"COSTERS VINDING, NEERLANDS GLORIE",De Koning leef,1856,J.L. Kröber,amsterdam1849
https://zotero.org/groups/2707622/items/I664294A,album1856-47,Haarlem op 16 julij 1856,De wereld is in rep en roer,1856,B. Kuit,denhaag1843
https://zotero.org/groups/2707622/items/I664294A,album1856-48,BEMOEDIGENDE GROETE AAN HET Steenen Beeld,Als de nacht in stille rust,1856,C. Boss,haarlem1851
https://zotero.org/groups/2707622/items/I664294A,album1856-49,COSTERS HULDE,"Voort, voort mijn lieve Saartje !",1856,J. Breeman,amsterdam1849
https://zotero.org/groups/2707622/items/I664294A,album1856-50,HULDE AAN COSTER,O groote koopman in tabak,1856,J.P. Nobels,haarlem1851
https://zotero.org/groups/2707622/items/I664294A,album1856-51,Bij het standbeeld,Henri's drinklied,1856,H. Everts,tiel1852
https://zotero.org/groups/2707622/items/I664294A,album1856-52,"DE UITVINDING DER BOEKDRUKKUNST. Cantate TE ZINGEN DOOR ALLE LEDEN DER TYPOGRAPHISCHE VEREENIGINGEN, BIJ HET STANDBEELD OF IN DEN HOUT, OP GEMAKKELIJKE EN MEEST BEKENDE ZANGWIJZEN.",,1856,J.K. de Regt,leiden1854
https://zotero.org/groups/2707622/items/7TTZHF5F,amsterdam1849-feestliederen1857-01,Jubelzang,De scheepsjongen,1857,C. Regenboog,amsterdam1849
https://zotero.org/groups/2707622/items/7TTZHF5F,amsterdam1849-feestliederen1857-02,Onze vreugd,Staat uw buurmans huis in brand,1857,A. Hogenhuis,amsterdam1849
https://zotero.org/groups/2707622/items/7TTZHF5F,amsterdam1849-feestliederen1857-03,Drinklied,Henri's drinklied,1857,J. Stom,amsterdam1849
https://zotero.org/groups/2707622/items/7TTZHF5F,amsterdam1849-feestliederen1857-04,Coster’s vond,Henri's drinklied,1857,J.H.F. Bartels,amsterdam1849
https://zotero.org/groups/2707622/items/7TTZHF5F,amsterdam1849-feestliederen1857-05,Feestmarsch,Lust je dan wel peperkoek,1857,J. Breeman,amsterdam1849
https://zotero.org/groups/2707622/items/7TTZHF5F,amsterdam1849-feestliederen1857-06,Herinnering aan Haarlem,Hebt gij ooit Haarlems stad bezocht,1857,J. Buhling,amsterdam1849
https://zotero.org/groups/2707622/items/7TTZHF5F,amsterdam1849-feestliederen1857-07,Coster’s Roem,Schilder! ‘k wou mij zelv’ eens zien,1857,K. van Doorn,amsterdam1849
https://zotero.org/groups/2707622/items/7TTZHF5F,amsterdam1849-feestliederen1857-08,Hulde aan het schoone geslacht,Henri's drinklied,1857,J.M. Knapp,amsterdam1849
https://zotero.org/groups/2707622/items/7TTZHF5F,amsterdam1849-feestliederen1857-09,Eigen haard is goud waard,Wie praalt aan 't hoofd der Heldenstoet,1857,J.C. Kröber,amsterdam1849
https://zotero.org/groups/2707622/items/7TTZHF5F,amsterdam1849-feestliederen1857-10,Zonder vrouwtjes geen plaisier,De wereld is in rep en roer,1857,A. Kreyts,amsterdam1849
https://zotero.org/groups/2707622/items/7TTZHF5F,amsterdam1849-feestliederen1857-11,"De drukkunst, het juweel der aarde","Hij, die als man zijn plicht betracht",1857,J.F. Vissers,amsterdam1849
https://zotero.org/groups/2707622/items/7TTZHF5F,amsterdam1849-feestliederen1857-12,De boekdrukkunst herdacht,Eens werd er aan de zeeuwsche kust,1857,H. Stühr,amsterdam1849
https://zotero.org/groups/2707622/items/7TTZHF5F,amsterdam1849-feestliederen1857-13,Opwekking tot dansen,Schep vreugde in 't leven,1857,J.M. van Gool,amsterdam1849
https://zotero.org/groups/2707622/items/7TTZHF5F,amsterdam1849-feestliederen1857-14,Feestzang,"Trien, Trien",1857,H.A. Mak,amsterdam1849
https://zotero.org/groups/2707622/items/7TTZHF5F,amsterdam1849-feestliederen1857-15,Een parel aan de kroon der verlichting,Henri's drinklied,1857,J. Bierdrager,amsterdam1849
https://zotero.org/groups/2707622/items/7TTZHF5F,amsterdam1849-feestliederen1857-16,Feestzang,"Trien, Trien",1857,J.H. Dortmond,amsterdam1849
https://zotero.org/groups/2707622/items/W2R997LC,amsterdam1857-1-feestliederen1861-01,GOEDEN AVOND !,muziek van BERNER,1861,A. Belinfante,amsterdam1857-1
https://zotero.org/groups/2707622/items/W2R997LC,amsterdam1857-1-feestliederen1861-02,HULDE AAN COSTER EN DRUKKUNST,muziek van A. BELINFANTE,1861,M. Smidt,amsterdam1857-1
https://zotero.org/groups/2707622/items/W2R997LC,amsterdam1857-1-feestliederen1861-03,LOF DER EENDRAGT,muziek van A. BELINFANTE,1861,A. Grevenstuk,amsterdam1857-1
https://zotero.org/groups/2707622/items/W2R997LC,amsterdam1857-1-feestliederen1861-04,WELKOMSTLIED,"Lieve schipper, haal mij over",1861,M. Smidt,amsterdam1857-1
https://zotero.org/groups/2707622/items/W2R997LC,amsterdam1857-1-feestliederen1861-05,DE ROEPING DER DRUKKUNST,Henri's drinklied,1861,L.J. Brons,amsterdam1857-1
https://zotero.org/groups/2707622/items/W2R997LC,amsterdam1857-1-feestliederen1861-06,STREKKING DER VEREENIGING,Wien Neerlands bloed,1861,M. Smidt,amsterdam1857-1
https://zotero.org/groups/2707622/items/W2R997LC,amsterdam1857-1-feestliederen1861-07,BEDE,God save the king,1861,R. Ruitenschild,amsterdam1857-1
https://zotero.org/groups/2707622/items/W2R997LC,amsterdam1857-1-feestliederen1861-08,GEZELLIGHEIDSLIED,Schep vreugde in 't leven,1861,M. Smidt,amsterdam1857-1
https://zotero.org/groups/2707622/items/W2R997LC,amsterdam1857-1-feestliederen1861-09,FEESTMARSCH,Bekers Marsch,1861,R. Ruitenschild,amsterdam1857-1
https://zotero.org/groups/2707622/items/F26LUTCU,amsterdam1857-1-klagt186?-01,Klagt en bemoediging,het Blaauwtje,186?,M. Smidt,amsterdam1857-1
https://zotero.org/groups/2707622/items/F26LUTCU,amsterdam1857-1-klagt186?-02,Potpourie,,186?,W. Farber,amsterdam1857-1
https://www.zotero.org/groups/2707622/items/DS7KV29E,amsterdam1857-1-liederen1858-01,Welkomst lied,Henri's drinklied,1858,M. Smidt,amsterdam1857-1
https://www.zotero.org/groups/2707622/items/DS7KV29E,amsterdam1857-1-liederen1858-02,Feestzang,De wereld is in rep en roer,1858,M. Smidt,amsterdam1857-1
https://www.zotero.org/groups/2707622/items/DS7KV29E,amsterdam1857-1-liederen1858-03,Vriendschap,Ik kwam laatst in een stee,1858,M. van Nifterick,amsterdam1857-1
https://www.zotero.org/groups/2707622/items/DS7KV29E,amsterdam1857-1-liederen1858-04,Op Koster,Io Vivat,1858,,amsterdam1857-1
https://www.zotero.org/groups/2707622/items/DS7KV29E,amsterdam1857-1-liederen1858-05,Aan den Haarlemmerhout,Is niet de wijn de drank der goden.,1858,,amsterdam1857-1
https://www.zotero.org/groups/2707622/items/DS7KV29E,amsterdam1857-1-liederen1858-06,Op de uitvinding,Wanneer natuur haar luisterrijk vermogen,1858,,amsterdam1857-1
https://www.zotero.org/groups/2707622/items/DS7KV29E,amsterdam1857-1-liederen1858-07,Tot besluit,Io Vivat,1858,M. Smidt,amsterdam1857-1
https://www.zotero.org/groups/2707622/items/GYDV7WNN,amsterdam1857-1-liederen1858b-01,FEESTLIED,Wilhelmus,1858,M. Smidt,amsterdam1857-1
https://www.zotero.org/groups/2707622/items/GYDV7WNN,amsterdam1857-1-liederen1858b-02,Jubellied,Schep vreugde in 't leven,1858,M. Smidt,amsterdam1857-1
https://www.zotero.org/groups/2707622/items/GYDV7WNN,amsterdam1857-1-liederen1858b-03,Feestlied,Welkom is ter dezer stonde,1858,M. Smidt,amsterdam1857-1
https://www.zotero.org/groups/2707622/items/GYDV7WNN,amsterdam1857-1-liederen1858b-04,Opwekking,Het kan ja niet immer zoo blijven,1858,M. Smidt,amsterdam1857-1
https://www.zotero.org/groups/2707622/items/GYDV7WNN,amsterdam1857-1-liederen1858b-05,Tot besluit,Wie praalt aan 't hoofd der Heldenstoet,1858,M. Smidt,amsterdam1857-1
https://zotero.org/groups/2707622/items/TYATGYQB,amsterdam1857-1-volkslied1861,Typographisch volkslied,Wien Neerlands bloed,1861,J.C. Belinfante,amsterdam1857-1
,haarlem1851-iisgdossier-01,Welkomst-lied,God save the king,1853,,haarlem1851
